Precipitación (mm) por Entidad Federativa y Nacional,,,,,,,,,,,,,
2019,,,,,,,,,,,,,
Entidad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,11.3,,,,,,,,,,,,11.3
Baja California,17.8,,,,,,,,,,,,17.8
Baja California Sur,11.1,,,,,,,,,,,,11.1
Campeche,26.7,,,,,,,,,,,,26.7
Coahuila,6.9,,,,,,,,,,,,6.9
Colima,5.7,,,,,,,,,,,,5.7
Chiapas,39.8,,,,,,,,,,,,39.8
Chihuahua,15.2,,,,,,,,,,,,15.2
Ciudad de México,5.3,,,,,,,,,,,,5.3
Durango,6.6,,,,,,,,,,,,6.6
Guanajuato,3.3,,,,,,,,,,,,3.3
Guerrero,1.0,,,,,,,,,,,,1.0
Hidalgo,12.3,,,,,,,,,,,,12.3
Jalisco,8.4,,,,,,,,,,,,8.4
Estado de México,4.1,,,,,,,,,,,,4.1
Michoacán,8.1,,,,,,,,,,,,8.1
Morelos,1.5,,,,,,,,,,,,1.5
Nayarit,1.4,,,,,,,,,,,,1.4
Nuevo León,22.5,,,,,,,,,,,,22.5
Oaxaca,14.9,,,,,,,,,,,,14.9
Puebla,6.8,,,,,,,,,,,,6.8
Querétaro,7.5,,,,,,,,,,,,7.5
Quintana Roo,67.0,,,,,,,,,,,,67.0
San Luis Potosí,14.2,,,,,,,,,,,,14.2
Sinaloa,11.3,,,,,,,,,,,,11.3
Sonora,23.8,,,,,,,,,,,,23.8
Tabasco,126.7,,,,,,,,,,,,126.7
Tamaulipas,25.2,,,,,,,,,,,,25.2
Tlaxcala,1.3,,,,,,,,,,,,1.3
Veracruz,50.6,,,,,,,,,,,,50.6
Yucatán,48.4,,,,,,,,,,,,48.4
Zacatecas,8.9,,,,,,,,,,,,8.9
Nacional,19.0,,,,,,,,,,,,19.0
"Valores preliminares en milímetros, pueden variar en el curso del año debido a actualización de la base de datos.",,,,,,,,,,,,,
Se actualiza mensualmente.,,,,,,,,,,,,,
